,microGridType,OptMethod,Size,Iteration,PowerLossDev,FreqDev,DVmin,DVmax,DP,DQ,Imax,PowerLossMean,ObjFunc
0,mg1,GA,100,0,4.7536697782899726e-05,0.00036048859107971583,1.0998760846621202e-05,1.3823256506746942e-05,0.061537862435584983,0.005246576552531876,0.6462072018464711,0.006806320008203442,0.7134244881408038
1,mg1,GA,100,1,3.8331797624708005e-06,0.000315811919818773,1.3512828684538543e-05,5.884733721063569e-06,0.10944814334936832,0.0012043110689531767,0.6066715758274279,0.00187435013613247,0.7176630729077362
2,mg1,GA,100,2,9.443450442379829e-05,0.0002357694232467472,4.753855816233559e-06,2.163342417277982e-05,0.07710164379915667,0.004807691505183821,0.6977263009226035,0.009609697877152023,0.7799922274346035
3,mg1,GA,100,3,0.00011954458379783549,0.0005249118608090802,4.0106254396008875e-06,2.3696800258854424e-05,0.10115483826077439,0.004152598084048262,0.6510981165468654,0.0107971712975097,0.7570777167619934
4,mg1,GA,100,4,0.0001753095461659382,7.858889703932668e-16,1.7377623276150356e-06,2.6977347869606882e-05,0.07858889706985048,0.03343439018242577,0.5556926776479755,0.013046070201707888,0.6679199895566157
5,mg1,GA,100,5,2.114307965204854e-06,0.00010057635398891962,1.1989587941698141e-05,5.939340181903039e-06,0.09730872540967955,0.0032974261690510583,0.5506228159341188,0.0012630553966100134,0.6513495871029271
6,mg1,GA,100,6,2.672475705266845e-05,0.00026783568652864677,8.250425136234607e-06,1.1243140153425643e-05,0.07799384783097418,0.001170116593010715,0.5835550934793234,0.005079349173396954,0.6630331119121793
7,mg1,GA,100,7,6.130798089810339e-06,0.0002257466806156816,1.4442878644163171e-05,7.92448431509113e-06,0.08052701800596923,0.0011038667030409976,0.6219137867605841,0.002413574098338793,0.703798916311259
8,mg1,GA,100,8,3.758491268059694e-05,0.0004592775762718043,1.0244785287662353e-05,1.2389716720386153e-05,0.06913139481573094,0.008896390531444812,0.656243985779653,0.006019682787114357,0.7347912681177892
9,mg1,GA,100,9,4.351532520390713e-05,0.0004132918550438962,5.0722913476267465e-06,1.3731820737221539e-05,0.0834075028937262,0.004500647081747174,0.5665721053834812,0.006480094449325738,0.6549558666512872
10,mg1,GA,200,0,0.00010677192586427958,7.09646623594596e-05,3.1555598347096884e-06,2.14579843509376e-05,0.07748341990928578,0.00709602086968513,0.5695246585656027,0.010207452614937971,0.6543064494769831
11,mg1,GA,200,1,5.979309966158566e-06,0.0003144909741817953,1.3523708792826675e-05,6.743634277786555e-06,0.0923223837652861,0.0012474496004183705,0.5949020970554662,0.0023660942884777426,0.6888126680483891
12,mg1,GA,200,2,0.0001349341541742331,0.00019850541490892687,2.810576557050047e-06,2.5837251635346512e-05,0.09703083797565619,0.009299310157640364,0.6693553159678589,0.011529517131793829,0.776047551498431
13,mg1,GA,200,3,5.22383936233151e-05,0.0003453209142980742,6.932021923779396e-06,1.528441226579366e-05,0.06471830812603842,0.0021880840328860713,0.6000574686309524,0.007136922290956031,0.6673836365319878
14,mg1,GA,200,4,6.12884878663626e-05,0.000279827739314939,8.440603094627012e-06,1.6569352974266067e-05,0.08778252413635936,0.0036643442337065102,0.6461605028095355,0.0077527438330056535,0.7379734973628516
15,mg1,GA,200,5,1.1316179083087736e-06,0.0005245951320168492,2.0586245198235775e-05,4.824867631634203e-06,0.05999160704712175,0.017389501088649662,0.6213605165132331,0.0008656000729693247,0.6992927625117595
16,mg1,GA,200,6,3.109208056641265e-05,0.000460928369977481,1.1733981355052789e-05,1.2168916613098043e-05,0.08574784589218527,0.0021360756822258126,0.6455849553595225,0.0055132504775005356,0.7339848002824456
17,mg1,GA,200,7,1.3371174217716269e-05,0.0002441741558101625,1.214729029553651e-05,9.118145850065745e-06,0.0650108936021951,0.0011126388284418453,0.582777581364535,0.0035809893008188843,0.6491799245613454
18,mg1,GA,200,8,2.6649226455732633e-05,0.00037085730074773866,1.076425040498951e-05,1.06217291790892e-05,0.07308317769630335,0.005643640358951104,0.6188744800319635,0.005057450137984173,0.6980201905940056
19,mg1,GA,200,9,3.306244875188251e-05,0.0003599129363498215,1.0465833268305326e-05,1.174500802247122e-05,0.061614482352944096,0.006237641127240007,0.6577940241706753,0.00565399262420409,0.7260613338772519
20,mg1,GA,500,0,0.00010749414515917472,6.680673432656437e-05,3.017953901354435e-06,2.158681953167204e-05,0.07790334588298806,0.007254046170971204,0.5673504290680111,0.01026067298245462,0.6527067267748892
21,mg1,GA,500,1,5.5615510847893354e-05,0.000367950923973229,1.0095346390942303e-05,1.4718499517565244e-05,0.07556288723204294,0.004369149247937844,0.6562278363985437,0.00741296533088978,0.736608253159254
