,microGridType,OptMethod,Iteration,PowerLossDev,FreqDev,DVmin,DVmax,DP,DQ,Imax,PowerLossMean,ObjFunc
0,mg1,GA,0,4.860018224234646e-05,0.00035171904547425274,1.0942547156019169e-05,1.399727705594675e-05,0.060040841158320674,0.005312625542780596,0.6518400054430485,0.006888946722356744,0.7176187311960784
1,mg1,GA,1,4.0118028126134635e-06,0.0003157159779942603,1.3910504017550859e-05,5.904562657390195e-06,0.10941489363980655,0.0012188084163671483,0.6081482928631263,0.0019252371474382125,0.7191215377667819
2,mg1,GA,2,9.211718568085146e-05,0.00024356446005146458,4.721077413451148e-06,2.1364732220111933e-05,0.07965078754662623,0.004828387283234251,0.6954543528380935,0.009485233660564361,0.7802952951233199
3,mg1,GA,3,0.00011939686989336892,0.00051452643415411,3.926539402131145e-06,2.363660206130889e-05,0.09915348101961083,0.004096144646551348,0.6536891468330764,0.010792338122260261,0.7576002589447495
4,mg1,GA,4,0.00017179401041175418,8.030901324353024e-16,1.7694219919416508e-06,2.660559944987875e-05,0.08030901328485279,0.032562048958399516,0.5529883113067227,0.01290635486446736,0.6660595425818293
5,mg1,GA,5,2.263117176935283e-06,9.557038506255048e-05,1.2304156224887313e-05,6.11330169733863e-06,0.09246539557769712,0.0033940068052812937,0.5626847634345696,0.001360710246070287,0.6586604167777097
6,mg1,GA,6,2.5467645796812973e-05,0.000278055911455761,8.120202869056245e-06,1.1026645097656936e-05,0.08096998098972677,0.0011497063805644507,0.5802046697459146,0.004927816745743996,0.662647027521425
7,mg1,GA,7,6.029357660497787e-06,0.00023607811234491888,1.3995090644793885e-05,7.835344986130117e-06,0.08421238510259846,0.0010864543576198503,0.6160485005256365,0.002388290543864584,0.7016112778914912
8,mg1,GA,8,3.486461926015208e-05,0.00048078575191730485,9.751293892061385e-06,1.1991675469405951e-05,0.0723688491551994,0.008360206158931033,0.6496316767044717,0.005768254625662785,0.7308981253591411
9,mg1,GA,9,4.326552475684832e-05,0.00040920205126159393,5.1660872322131345e-06,1.3663480801848831e-05,0.08258212896817872,0.004392167218411721,0.5689035728396685,0.006478809955400364,0.6563491661703115
10,mg1,PSO,0,0.00011109485222458266,3.4331721858938666e-05,1.435460626406542e-06,2.2765324960332172e-05,0.12524657429630118,0.008061053235256719,0.589909806398505,0.010360608644181644,0.7233870612897332
11,mg1,PSO,1,5.801547848919743e-05,0.00026335082160795445,1.889169805856828e-05,1.615840791887284e-05,0.16064050765388957,0.0021723628659112417,0.7819457592659993,0.007539805381358908,0.9451150461918748
12,mg1,PSO,2,0.0003387064072882909,0.00017516857195157805,1.3038684281159833e-07,4.463760644212992e-05,0.11539273189805309,0.03419503652193352,0.6927260234626952,0.018260698274375632,0.8428724348552066
13,mg1,PSO,3,0.0001197280168852986,0.0005169790995128151,3.9759134021651465e-06,2.3685025560247672e-05,0.09962612983215444,0.0040806163058796675,0.6548521978269767,0.010806931556556272,0.7592233120203713
14,mg1,PSO,4,0.00025453301401362016,0.0006481473136710166,7.797545165398837e-07,3.5126111264439226e-05,0.09619386219840036,0.08673468441806365,0.7247472354980988,0.015797014890411135,0.9086143683080286
15,mg1,PSO,5,0.00010095199827729991,0.0007578182687721382,4.702517127114081e-06,1.6494562030854153e-05,0.08343488430809075,0.11129393103074178,0.6549928052437739,0.00992784529867189,0.8506015879288138
16,mg1,PSO,6,6.813259815152273e-05,0.00037832792075235844,6.6933261173719005e-06,1.5836043711214934e-05,0.08759039762831207,0.0015055574051389613,0.6968780468019696,0.008158179046829075,0.7864429917241531
17,mg1,PSO,7,5.698085457951122e-06,0.00023598224535677025,1.3987507642795294e-05,7.775804004618934e-06,0.08417818799872104,0.0010702134980791972,0.6147323513722815,0.0023157301239226857,0.7002441965115439
18,mg1,PSO,8,3.6669622963275574e-05,0.0004562856187555532,1.0241373828968607e-05,1.231127555812811e-05,0.06868103928559224,0.0086899103892137,0.6575371855567537,0.005940135366221841,0.7354236431226655
19,mg1,PSO,9,7.004054097350975e-05,0.00040206839654466055,3.1464060931357523e-06,1.6025284502775905e-05,0.11963790867485764,0.004171812612807769,0.6693593971716953,0.00825799008063949,0.7936603990874749
20,mg1,BO_EI,0,0.00027522621850196446,7.892337247154789e-16,1.0915921624638172e-16,3.8188459525347123e-05,0.07892337241179928,0.010915921648971377,0.5400427319524692,0.016420676850151,0.6301954406912681
21,mg1,BO_EI,1,4.291685157567222e-05,1.5290769906040942e-15,9.295258649940376e-07,1.2373978380215918e-05,0.15290770031106157,0.001707602254609094,0.394827994394993,0.005654424208682924,0.549499517316486
22,mg1,BO_EI,2,2.692403255204908e-07,0.0007577470418826949,1.8339637819994627e-05,3.934000335360288e-06,0.07453005472830806,0.0052838386986169845,0.5985745579993172,-0.0002693990966772297,0.6791687413466059
23,mg1,BO_EI,3,1.1670142826762273e-05,0.0007469951597365295,1.247959201992856e-05,8.676020004013402e-06,0.07386179099912187,0.004301266602419131,0.6092087791008584,0.0033615443214563777,0.6881516576169866
24,mg1,BO_EI,4,6.488138335065603e-07,0.0012015555814516785,2.4861598786337816e-05,3.6383739831699863e-06,0.05340247034882724,0.003164010794361434,0.6192809255246698,-0.0007148993390086611,0.6770781110359132
25,mg1,BO_EI,5,6.533451644093527e-05,8.627331769860374e-16,4.194383763091107e-05,1.13116858022919e-16,0.08627331766390929,0.011311685803100432,0.5316937715959362,-0.008028454590045649,0.6293860534170188
26,mg1,BO_EI,6,4.64409429564335e-06,0.0011259451711499659,1.91318593554695e-05,6.539529004851091e-06,0.06023483517324785,0.018879536973389024,0.6411265996638484,0.002081328872525741,0.7213972324642912
27,mg1,BO_EI,7,5.966773430197267e-06,0.0002263581138569197,1.4068210660797954e-05,7.862094975481493e-06,0.08074512484806437,0.0010595469300885426,0.6222219203388749,0.0023749941184523404,0.7042808473099512
28,mg1,BO_EI,8,6.118164371353871e-07,1.505675245923637e-15,4.325869687478715e-06,4.7507271413244265e-06,0.15056752578098415,0.00031667815349171655,0.3977563995206993,0.000662316647457819,0.5486502918684426
29,mg1,BO_EI,9,2.1148657678025265e-05,0.0003735928813362343,1.1017515400991323e-05,1.0507816118747817e-05,0.07127281448703635,0.0015967531373116091,0.5916546738402263,0.004515509589744691,0.6649405083351082
30,mg1,BO_LCB,0,8.147140631187563e-05,1.499656932709035e-15,5.089542504221157e-09,1.776960259541461e-05,0.1499656944351491,0.003825575879750625,0.3991623298338793,0.008740658800219766,0.5530528462472303
31,mg1,BO_LCB,1,3.7214892999072136e-05,0.0008006812011050114,9.737144315214149e-06,1.343472998397996e-05,0.08926923963620222,0.0009622364744730122,0.6636726732764837,0.006000395426057254,0.7547652173555622
32,mg1,BO_LCB,2,1.6488842378264306e-05,0.0005492034438692513,9.218328624280715e-06,1.0175802098985562e-05,0.12233619891193329,0.0006771361124384078,0.6140705420162771,0.003965708247094774,0.7376689634576196
33,mg1,BO_LCB,3,0.00012271741909660177,0.0005132414049462838,4.060449552401919e-06,2.4074358055167123e-05,0.09890584530893569,0.004186670851024282,0.6542138948270768,0.010953541366595664,0.7579705046186872
34,mg1,BO_LCB,4,6.615669380853125e-05,5.307834228690299e-16,4.76364308562169e-05,1.4164603954315262e-16,0.05307834227850629,0.014164603947726671,0.6272882652425471,-0.008078047186011732,0.6946450045934455
35,mg1,BO_LCB,5,0.00010331796927481963,0.0007584762209736932,4.851749490493295e-06,1.6725896651506258e-05,0.08350732405826486,0.11317735428178632,0.6541561882953872,0.010054317442801058,0.851724238471829
36,mg1,BO_LCB,6,4.5695319482410125e-06,1.4629035724706667e-15,3.2096963470495217e-06,6.424588348565353e-06,0.14629035857516776,0.0003117300372321126,0.4053743299857946,0.001970548942103667,0.5519906224148398
37,mg1,BO_LCB,7,2.4630931576891485e-07,1.4908746779279827e-15,5.132273322004074e-06,4.0631098938106346e-06,0.14908746855199762,0.025275350301347952,0.42064433542329643,0.0002952413699977296,0.595016595969175
38,mg1,BO_LCB,8,8.865264443919304e-05,0.001110237701561633,6.675970787911171e-06,1.9503752867342083e-05,0.04934389788922191,0.001394864275711405,0.6299981528018548,0.009301841072780792,0.6819619850364442
39,mg1,BO_LCB,9,6.726916357387171e-05,0.0004121464421312471,3.0022348253532443e-06,1.567764957607176e-05,0.12263669273223952,0.0041038665523189105,0.6648790518440225,0.008092509786030181,0.7921177066186875
40,mg1,BO_PI,0,0.0003218384881852733,5.102513661088513e-16,2.649062737085787e-07,4.135693078402338e-05,0.05102513659738775,0.023772811699578317,0.6271094962948536,0.017778028391186366,0.7022709049170631
